Standard Number,Description,Found Title,Link,Download Link,Replacement Title,Replacement Download,Abstract,Is Sponsored
"NZS 1170.5:2004","Structural design actions – Part 5: Earthquake actions – New Zealand","NZS 1170.5 Supp 1:2004 (Excludes Amdt 1) Current","https://www.standards.govt.nz/shop/NZS-1170-5-SUPP-12004-EXCLUDES-AMDT-1","https://www.standards.govt.nz/product-download/download/517159/0?mediaTypeId=79cb1eab-d42c-ee11-9965-000d3a6ad588&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides background to the various provisions in NZS 1170.5:2004, suggests approaches that may satisfy the intent of the Standard and, if appropriate, describes differences between this and previous editions of the Standard. References are provided for further reading and these are given at the end of each section of the Commentary.","true"
"NZS 1170.5 Supp 1:2004 (Excludes Amdt 1\)","Structural design actions – Part 5: Earthquake actions – New Zealand Commentary","NZS 1170.5 Supp 1:2004 (Excludes Amdt 1) Current","https://www.standards.govt.nz/shop/NZS-1170-5-SUPP-12004-EXCLUDES-AMDT-1","https://www.standards.govt.nz/product-download/download/517159/0?mediaTypeId=79cb1eab-d42c-ee11-9965-000d3a6ad588&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides background to the various provisions in NZS 1170.5:2004, suggests approaches that may satisfy the intent of the Standard and, if appropriate, describes differences between this and previous editions of the Standard. References are provided for further reading and these are given at the end of each section of the Commentary.","true"
"NZS 2295:2006","Pliable, permeable building underlays","NZS 2295:2006 - excluding Amendment 1 Current","https://www.standards.govt.nz/shop/NZS-22952006-EXCLUDING-AMENDMENT-1","https://www.standards.govt.nz/product-download/download/473623/0?mediaTypeId=3ffaeef6-6279-eb11-a812-000d3a6aefc3&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Specifies the material property requirements and test methods for pliable and permeable building underlay material to be used for roofs and walls. This Standard does not include rigid materials used in place of pliable wall or roof underlay, pliable membranes used as insulation, vapour barriers or foil laminates.","true"
"NZS 3101.1&2:2006","Concrete structures standard","NZS 3101.1&2:2006 (Inc A1, A2 A3) Current","https://www.standards.govt.nz/shop/NZS-3101-1-AND-22006-INC-A1-A2-A3","https://www.standards.govt.nz/product-download/download/444565/0?mediaTypeId=38840734-686e-4bdd-9b41-67c72f9b6f33&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets out minimum requirements for the design of reinforced and pre-stressed concrete structures. Part Two, Commentary on The Design of Concrete Structures, explains the provisions of Part One, summarises technical background and suggests approaches which satisfy the intent of the Standard. Amendment 3 to NZS 3101.1&2:2006 involves significant revision and the introduction of new material. It has been primarily developed to address recommendations from the Canterbury Earthquakes Royal Commission. In addition, errors in the original published standard and commentary have been corrected and included in this amendment. NZS 3101 Part 1 is used by structural engineers to design concrete structures. When read along with Verification Method B1/VM1, it provides a means of complying with the performance requirements of New Zealand Building Code clause B1 Structure. It can also be used along with Acceptable Solution B2/AS1 to demonstrate the compliance of concrete building elements with clause B2 Durability.","true"
"NZS 3106:1986","Code of practice for concrete structures for the storage of liquids","NZS 3106:1986 Superseded","https://www.standards.govt.nz/shop/NZS-31061986","https://www.standards.govt.nz/product-download/download/444745/0?mediaTypeId=e3edd4cb-66f5-4185-85d2-feac98d980c8&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Design of concrete structures for the storage of liquids","https://www.standards.govt.nz/product-download/download/444757/0?mediaTypeId=843380a1-2331-42aa-99c2-b21f7806ea8a&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Sets out requirements for design, materials and construction of concrete structures for the storage of liquids. Covers construction in reinforced and prestressed concrete and in cement mortar.","true"
"NZS 3106:2009","Design of concrete structures for the storage of liquids","NZS 3106:2009 Current","https://www.standards.govt.nz/shop/NZS-31062009","https://www.standards.govt.nz/product-download/download/444757/0?mediaTypeId=843380a1-2331-42aa-99c2-b21f7806ea8a&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","This Standard provides design information that meets the requirements of the New Zealand Building Code and is intended to be used by engineers and others involved in new storage tank projects. It provides a basis for designing concrete structures for the storage of liquids that will require only limited periodic maintenance to remain serviceable for their design life, and will not allow an uncontrolled, rapid loss of the liquid contents in extreme events such as a major earthquake.","true"
"NZS 3109:1997","Concrete construction","NZS 3109:1997 Current","https://www.standards.govt.nz/shop/NZS-31091997","https://www.standards.govt.nz/product-download/download/444820/0?mediaTypeId=ec6bb7de-e221-4830-ad86-471cbbbdbc19&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","This standard sets out recognised practice for concrete work in New Zealand construction. Its content includes reinforcement installation, formwork, embedded items, and the placing, finishing and curing of the concrete. It provides minimum requirements for the construction of reinforced concrete, unreinforced concrete, prestressed concrete or a combination, in elements of any building or civil engineering structure. Concrete placers, reinforcing steel fixers, and builders, designers and engineers who work with concrete structures will find this useful.","true"
"NZS 3112.2:1986","Methods of test for concrete – Tests relating to the determination of strength of concrete","NZS 3112.2:1986 Current","https://www.standards.govt.nz/shop/NZS-3112-21986","https://www.standards.govt.nz/product-download/download/444859/0?mediaTypeId=c7f1192d-c76d-47c3-8b03-00d3a1c82473&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets out methods of moulding, curing and testing concrete specimens for compressive, flexural and splitting tensile strength, testing of drilled concrete cores and the statistical analysis of strength results.","true"
"NZS 3114:1987","Specification for concrete surface finishes","NZS 3114:1987 Current","https://www.standards.govt.nz/shop/NZS-31141987","https://www.standards.govt.nz/product-download/download/444937/0?mediaTypeId=69c1078f-8257-492f-960b-6f8c5e3cff75&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Categorizes by means of description and illustration various classes of surface finish of concrete obtained off-the-form, by exposed aggregate and on floors, exterior pavements and inverts.","true"
"NZS 3116:2002","Concrete segmental and flagstone paving","NZS 3116:2002 Current","https://www.standards.govt.nz/shop/NZS-31162002","https://www.standards.govt.nz/product-download/download/459877/0?mediaTypeId=732d18a0-a1ab-4047-8d94-a5490417ee06&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets out provisions for the non-specific engineering design and construction of pavements using segmental and flagstone pavers. It also provides New Zealand variations to paver manufacture and tests in relation to AS/NZS 4455 and AS/NZS 4456.","true"
